"state_1","District","Region","Sector","State_Region","Meals_At_Home","ricepds_v","Wheatpds_q","chicken_q","pulsep_q","wheatos_q","No_of_Meals_per_day","total_consumption"
"HR","Faridabad",1,"URBAN",61,90,0,0,0,0,4,3,4
"HR","Faridabad",1,"URBAN",61,90,0,0,0,0.083333333,5.833333333,3,5.916666666
"HR","Faridabad",1,"URBAN",61,90,0,0,0,0.166666667,6,3,6.166666667
"HR","Faridabad",1,"URBAN",61,90,0,0,0,0.25,5,3,5.25
"HR","Faridabad",1,"URBAN",61,90,0,0,0,0.2,3,3,3.2
"HR","Faridabad",1,"URBAN",61,90,0,0,0,0.166666667,3.333333333,3,3.5
"HR","Faridabad",1,"URBAN",61,90,0,0,0,0.1,4,3,4.1
"HR","Faridabad",1,"URBAN",61,87,0,0,0,0,11,3,11
"HR","Faridabad",1,"URBAN",61,85,0,0,0,0,10,3,10
"HR","Faridabad",1,"URBAN",61,90,0,0,0,0,8.75,3,8.75
"HR","Faridabad",1,"URBAN",61,25,0,0,0,0,10,3,10
"HR","Faridabad",1,"URBAN",61,85,0,0,0,0,10,3,10
"HR","Faridabad",1,"URBAN",61,90,0,1.428571429,0,0,7.142857143,3,8.571428572
"HR","Faridabad",1,"URBAN",61,60,0,0,0,0,5,2,5
"HR","Faridabad",1,"URBAN",61,60,0,0,0,0,6,2,6
"HR","Faridabad",1,"URBAN",61,90,0,0,0,0,8.333333333,3,8.333333333
"HR","Faridabad",1,"URBAN",61,60,0,0,0,0,7.142857143,2,7.142857143
"HR","Mewat",1,"URBAN",61,72,0,0,0,0,8,3,8
"HR","Mewat",1,"URBAN",61,66,0,0,0,0,9,3,9
"HR","Mewat",1,"URBAN",61,90,0,5.833333333,0,0,1.666666667,3,7.5
"HR","Mewat",1,"URBAN",61,90,0,7.5,0,0,0,3,7.5
"HR","Mewat",1,"URBAN",61,90,0,5.833333333,0,0.041666667,2,3,7.875
"HR","Faridabad",1,"URBAN",61,60,0,0,0,0,4.4,2,4.4
"HR","Faridabad",1,"URBAN",61,60,0,0,0,0,4.666666667,2,4.666666667
"HR","Faridabad",1,"URBAN",61,60,0,0,0,0,6,2,6
"HR","Faridabad",1,"URBAN",61,60,0,0,0,0,5.5,2,5.5
"HR","Faridabad",1,"URBAN",61,60,0,0,0,0,4.8,2,4.8
"HR","Faridabad",1,"URBAN",61,60,0,0,0,0,6,2,6
"HR","Faridabad",1,"URBAN",61,60,0,0,0,0,8,2,8
"HR","Faridabad",1,"URBAN",61,90,0,0,0,0,8.333333333,3,8.333333333
"HR","Faridabad",1,"URBAN",61,87,0,0,0,0,8.333333333,3,8.333333333
"HR","Faridabad",1,"URBAN",61,87,0,0,0,0,8,3,8
"HR","Faridabad",1,"URBAN",61,88,0,0,0,0,8.666666667,3,8.666666667
"HR","Faridabad",1,"URBAN",61,85,0,0,0,0,8,3,8
"HR","Faridabad",1,"URBAN",61,87,0,0,0,0,8.333333333,3,8.333333333
"HR","Faridabad",1,"URBAN",61,90,0,0,0,0,8.75,3,8.75
"HR","Faridabad",1,"URBAN",61,90,0,0,0,0,8.75,3,8.75
"HR","Faridabad",1,"URBAN",61,90,0,0,0,0.3,10,3,10.3
"HR","Faridabad",1,"URBAN",61,87,0,0,0,0,10,3,10
"HR","Faridabad",1,"URBAN",61,88,0,0,0,0,10,3,10
"HR","Faridabad",1,"URBAN",61,90,0,6,0,0,3,3,9
"HR","Faridabad",1,"URBAN",61,88,0,0,0,0.142857143,5.714285714,3,5.857142857
"HR","Faridabad",1,"URBAN",61,90,0,0,0,0,8,3,8
